Suburb,No. of Rooms,Type of Property,Year Sold,Price,Postcode,Region Name,No. of properties in Suburb,Distance from CBD,Council for Suburb,Total population
Williamstown,3,house,2017,0.08573601,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24569736349870494
Aspendale Gardens,3,house,2017,0.069502563,3195,South-Eastern Metropolitan,0.077099714,21.5,Kingston City Council,0.14691088133679453
Thomastown,3,townhouse,2017,0.025142354,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30787758043987595
Truganina,4,house,2017,0.037523714,3029,Western Metropolitan,0.22255564509676243,18.4,Melton City Council,0.380316715
Glen Waverley,3,house,2017,0.1658422360997831,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Collingwood,2,house,2016,0.069922114,3066,Northern Metropolitan,0.1736497554470117,2,Yarra City Council,0.14244878718342543
Frankston,4,house,2018,0.06354697,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3373424713047767
Richmond,3,house,2018,0.11181735810645975,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.45746468931433243
Glen Iris,3,house,2016,0.12975684658092745,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
South Kingsville,2,house,2018,0.053862640362075394,3015,Western Metropolitan,0.020269062,6.2,Hobsons Bay City Council,0.15495877999914348
Sunshine West,3,house,2016,0.041415610468179584,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.28450851135724686
Brunswick East,1,unit,2017,0.029257405988370174,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1908157165881778
Brunswick,2,house,2016,0.033616610798985064,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3743930845533775
Wheelers Hill,4,house,2016,0.11783301691342253,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.30025588419691795
Thornbury,3,house,2018,0.10373976976009305,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.29058687033312774
Bulleen,4,house,2016,0.077110977,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.17816075621368088
Hawthorn,5,house,2018,0.324772417,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
South Yarra,1,unit,2016,0.040119994,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.39897026993164153
Glenroy,2,house,2018,0.070760689,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Kew East,4,house,2017,0.19513460455594753,3102,Southern Metropolitan,0.09570652,7.3,Boroondara City Council,0.10944404987524245
Bulleen,4,house,2016,0.10049037616178355,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.17816075621368088
Coburg,2,house,2017,0.078775425,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Beaumaris,5,house,2018,0.12540126654127245,3193,Southern Metropolitan,0.20552793260941107,17.3,Bayside City Council,0.21874062323917626
Reservoir,4,house,2017,0.09641373,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
West Melbourne,2,unit,2017,0.051293294,3003,Northern Metropolitan,0.076529101,3.1,Melbourne City Council,5.022643753298549e-05
Templestowe Lower,4,house,2017,0.094041637,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21601938649640035
Murrumbeena,3,house,2016,0.084083117,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.15151144180579454
Camberwell,4,townhouse,2018,0.151795876,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.325878066
Doncaster East,3,unit,2017,0.053086557,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.41107484634003477
Thomastown,3,house,2017,0.054706267,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30787758043987595
Glenroy,3,unit,2018,0.043743499,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Mount Waverley,7,house,2018,0.10536051565782635,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
Greensborough,3,house,2016,0.047010633,3088,Northern Metropolitan,0.3205284653111676,16.1,Banyule City Council,0.306128618
Blackburn South,3,townhouse,2018,0.079107983,3130,Eastern Metropolitan,0.1670139779793819,13.4,Whitehorse City Council,0.17463797027426697
Hawthorn,2,house,2018,0.12777938894623989,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Newport,3,house,2018,0.069922114,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27846902164282894
Doreen,4,house,2017,0.038822696,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.33055660680661747
Mount Waverley,2,unit,2016,0.079107983,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Kew,2,unit,2016,0.038822696,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3650346269594648
Armadale,3,house,2016,0.20946518233858918,3143,Southern Metropolitan,0.18486201212835568,6.3,Stonnington City Council,0.14988419588384946
Glen Iris,4,house,2017,0.17702188830375318,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25596361831573855
Templestowe,4,house,2017,0.11583181552512165,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.2600252992760271
Melbourne,2,unit,2017,0.032485044,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5637688755391402
Eltham North,4,house,2017,0.084909905,3095,Eastern Metropolitan,0.081609255,18,Banyule City Council,0.29593133818221584
Dandenong North,3,house,2018,0.044001818806212546,3175,South-Eastern Metropolitan,0.3135554659504098,24.7,Greater Dandenong City Council,0.3367089963148183
Glen Iris,4,house,2017,0.17494700309270217,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25596361831573855
Abbotsford,1,unit,2016,0.029999813,3067,Northern Metropolitan,0.15214441636099457,3,Yarra City Council,0.13805419912404515
Patterson Lakes,4,house,2016,0.063188082,3197,South-Eastern Metropolitan,0.12457467878662302,31.2,Kingston City Council,0.18508583694374992
Strathmore,5,house,2016,0.075777422,3041,Western Metropolitan,0.12176704185103372,8.2,Moonee Valley City Council,0.1532940503484572
Wheelers Hill,4,house,2018,0.10292841068921384,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.30140842207630614
Brighton East,4,house,2018,0.19291155806800098,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.24888753421108195
Altona,3,townhouse,2016,0.049582429983921025,3018,Western Metropolitan,0.2030162908014088,11,Hobsons Bay City Council,0.20072700978129931
Hillside,4,house,2018,0.045120435,3037,Western Metropolitan,0.21283369048571887,18,Brimbank City Council,0.33957436199738833
Sunshine West,4,house,2016,0.051293294,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.28450851135724686
MacLeod,3,house,2016,0.079938892,3085,Northern Metropolitan,0.15819163542238174,12.7,Banyule City Council,0.057594555582697056
Flemington,2,house,2017,0.078276382,3031,Northern Metropolitan,0.13465054053101594,3.4,Melbourne City Council,0.16701673516393498
Hughesdale,5,house,2018,0.081183964,3166,Southern Metropolitan,0.11591697992393667,12.3,Monash City Council,0.12986853462726183
Collingwood,1,unit,2016,0.034703449,3066,Northern Metropolitan,0.1736497554470117,2,Yarra City Council,0.14244878718342543
Eltham North,4,house,2017,0.079107983,3095,Eastern Metropolitan,0.081609255,18,Banyule City Council,0.29593133818221584
Reservoir,3,house,2018,0.06361029,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Footscray,2,house,2017,0.074943045,3011,Western Metropolitan,0.28716056005404184,5.1,Maribyrnong City Council,0.2637747963276384
Ascot Vale,2,townhouse,2016,0.035789108,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.2329400376455309
Craigieburn,3,house,2017,0.030283529,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.2478557647657131
Clayton,3,unit,2017,0.052574525,3168,South-Eastern Metropolitan,0.22354161408069465,16.7,Monash City Council,0.35490704137480233
Heidelberg West,2,house,2018,0.054919192,3081,Eastern Metropolitan,0.095835727,8.8,Banyule City Council,0.22868669169716588
Doreen,4,house,2016,0.033181544,3754,Northern Victoria,0.27585777143697426,25.9,Nillumbik Shire Council,0.3124204197871729
Vermont,4,house,2016,0.070760689,3133,Eastern Metropolitan,0.15871751476542062,17.2,Maroondah City Council,0.1680787197587712
Ringwood East,2,unit,2016,0.034051487953044475,3135,Eastern Metropolitan,0.16781580619056533,21.3,Maroondah City Council,0.3030420049355027
Sunshine North,3,unit,2016,0.029868839819708715,3020,Western Metropolitan,0.16017235438351207,10.5,Brimbank City Council,0.18768430572697628
Point Cook,4,house,2017,0.049582429983921025,3030,Western Metropolitan,0.5367821508464777,14.7,Wyndham City Council,0.663565106
Fitzroy,6,house,2017,0.20324375330520641,3065,Northern Metropolitan,0.22308667226748724,2.1,Yarra City Council,0.1757761623581349
Keysborough,3,house,2018,0.046237801849943944,3173,South-Eastern Metropolitan,0.31828997965841055,25.2,Greater Dandenong City Council,0.40533115860692603
Glen Huntly,5,house,2017,0.13652959258308386,3163,Southern Metropolitan,0.084096113,10.1,Glen Eira City Council,0.21435876115274977
Greensborough,3,house,2017,0.07927422,3088,Northern Metropolitan,0.3205284653111676,16.1,Banyule City Council,0.307286724
Blackburn,1,unit,2018,0.020040751,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Keilor East,4,house,2016,0.064875846,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3793662478166544
Sunbury,4,house,2018,0.037090344,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.2023693833797926
Richmond,2,unit,2017,0.071263496,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.44732594136450016
Ferntree Gully,3,house,2017,0.053086557,3156,Eastern Metropolitan,0.3955255207116783,24.8,Knox City Council,0.21601938649640035
Wyndham Vale,3,house,2018,0.016153133334726316,3024,Western Metropolitan,0.20150627212323605,27.2,Wyndham City Council,0.37548631411961414
Hawthorn,3,house,2018,0.13582296200368646,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Kew,2,unit,2017,0.079523524,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3703319310051386
Altona,3,house,2017,0.10211639278020225,3018,Western Metropolitan,0.2030162908014088,11,Hobsons Bay City Council,0.2029982454336554
West Melbourne,3,unit,2016,0.045378399940741776,3003,Northern Metropolitan,0.076529101,3.1,Melbourne City Council,5.022643753298549e-05
Strathmore,3,unit,2017,0.06361029,3041,Western Metropolitan,0.12176704185103372,8.2,Moonee Valley City Council,0.15777961594873074
Ringwood North,2,unit,2017,0.045464373,3134,Eastern Metropolitan,0.1357270560374303,19.9,Manningham City Council,0.1557041394545643
Mitcham,3,house,2018,0.06496016,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.2555357941838218
Doncaster,5,house,2016,0.17176975554507004,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.3119302957759891
Northcote,3,house,2017,0.09763847,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
Thornbury,3,house,2018,0.062343130574135555,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.29058687033312774
Hampton,3,house,2016,0.12857084130255153,3188,Southern Metropolitan,0.20891828876186494,13.8,Bayside City Council,0.27278801860917856
Hawthorn,2,house,2018,0.1473801732600477,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3556581534079557
Moonee Ponds,3,house,2017,0.12857084130255153,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.2299379897492016
Sunbury,3,house,2018,0.034051487953044475,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.2023693833797926
Moonee Ponds,5,house,2016,0.1895676946512946,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.22517737774852564
Mernda,4,house,2018,0.06681326,3754,Northern Metropolitan,0.2225935849620804,25.9,Whittlesea City Council,0.3073113499196944
Keilor East,4,house,2018,0.071766051,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3856135913233154
Sunbury,2,house,2016,0.026632733,3429,Western Metropolitan,0.49577309604723446,31.7,Hume City Council,0.20065851897616316
Kew East,5,house,2016,0.16660414089854494,3102,Southern Metropolitan,0.09570652,7.3,Boroondara City Council,0.10819770054092409
Ivanhoe,2,unit,2017,0.031439384,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Taylors Lakes,4,house,2016,0.077444089,3038,Western Metropolitan,0.2043694971398613,15.5,Brimbank City Council,0.2702229166086454
Maribyrnong,2,townhouse,2016,0.023122417420854212,3032,Western Metropolitan,0.18808744072017478,4.3,Maribyrnong City Council,0.1965817269904023
Bentleigh East,4,house,2018,0.14349063121138517,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40937521418442885
Forest Hill,6,house,2017,0.084496597,3131,Eastern Metropolitan,0.16693375978585273,15.4,Whitehorse City Council,0.17301979002177414
Eltham,4,house,2017,0.067486264,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.3391212258102883
Brunswick West,1,unit,2018,0.015178862853339038,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22621944808904768
Mentone,3,townhouse,2016,0.063188082,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20662697363243382
Newport,2,house,2016,0.06369471,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.2696221662918003
Reservoir,2,townhouse,2017,0.024440230042930774,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Springvale South,4,house,2016,0.060227623121316264,3172,South-Eastern Metropolitan,0.15356819367870014,22.2,Greater Dandenong City Council,0.2008365853131926
Glen Iris,2,unit,2017,0.058871345893830494,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25596361831573855
Camberwell,3,house,2017,0.1279773107677668,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3245113759996223
Mitcham,4,house,2018,0.096577115,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.2555357941838218
Glen Waverley,4,house,2017,0.1325187343101363,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Malvern East,5,house,2018,0.17871632530899403,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.33135026718570354
Wantirna,4,house,2018,0.069922114,3152,Eastern Metropolitan,0.207763776,14.7,Knox City Council,0.21855226131463687
Reservoir,2,house,2017,0.057980288,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Rosanna,4,unit,2017,0.070341489,3084,Eastern Metropolitan,0.13245250957867125,8.9,Banyule City Council,0.18224342176542357
Clayton South,3,house,2018,0.087386176,3169,South-Eastern Metropolitan,0.18083532001903968,17.5,Kingston City Council,0.20811013862404945
Keilor,3,house,2017,0.070341489,3036,Western Metropolitan,0.081303425,14.5,Brimbank City Council,0.14114116062954185
Coburg,4,house,2017,0.083669467,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38717218981060725
Hoppers Crossing,3,house,2018,0.041156621,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5215998135664995
Mulgrave,4,house,2016,0.068830915,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2953956828324747
St Kilda,2,unit,2017,0.047182291681028214,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5789354373767116
Frankston,3,house,2017,0.040983925,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3344467279356161
Dandenong,3,house,2017,0.036656787,3175,South-Eastern Metropolitan,0.39890271830138874,24.7,Greater Dandenong City Council,0.444120278
Camberwell,4,house,2017,0.20471110499915618,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3245113759996223
Mentone,1,unit,2018,0.029781515015042448,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.2106224127374902
Glen Waverley,4,house,2016,0.079107983,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5351718911120432
Eltham,3,house,2018,0.083255645,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.34021793935614536
Glen Waverley,3,unit,2017,0.073272201,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Caulfield North,1,unit,2017,0.024440230042930774,3161,Southern Metropolitan,0.26387984683583926,7.8,Glen Eira City Council,0.32509214529325164
Springvale,3,house,2018,0.079107983,3171,South-Eastern Metropolitan,0.2815251347893197,20.8,Greater Dandenong City Council,0.33335565959964586
Coburg North,3,house,2016,0.05231841,3058,Northern Metropolitan,0.12850051075824553,6.7,Darebin City Council,0.1271004482859523
Elwood,3,house,2018,0.11181735810645975,3184,Southern Metropolitan,0.3363977514995816,7.2,Port Phillip City Council,0.2455402069835892
Wantirna South,3,house,2018,0.06403232,3152,Eastern Metropolitan,0.26965150196710946,14.7,Knox City Council,0.2742908398652861
Northcote,2,house,2017,0.10333417251259383,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
Essendon North,3,unit,2016,0.05487661,3041,Western Metropolitan,0.035205722,8.2,Moonee Valley City Council,0
Brighton East,3,townhouse,2016,0.11342507549455665,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.24656128312937886
Elwood,2,unit,2017,0.047868634,3184,Southern Metropolitan,0.3363977514995816,7.2,Port Phillip City Council,0.24476716134195217
Coburg,4,house,2018,0.095596402,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.3918674068285191
Ringwood,3,house,2016,0.045378399940741776,3134,Eastern Metropolitan,0.2947783622302237,19.9,Maroondah City Council,0.2623333546366169
Glenroy,2,unit,2018,0.034138441,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Beaumaris,3,house,2016,0.083917678,3193,Southern Metropolitan,0.20552793260941107,17.3,Bayside City Council,0.21291190578192803
Doncaster,5,house,2018,0.11503021227578512,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.3305325466562402
Burwood,2,unit,2018,0.058531989,3125,Southern Metropolitan,0.2174967727418569,10.4,Monash City Council,0.21303368456415542
Meadow Heights,1,house,2017,0.026807925,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.2351128858578871
Ivanhoe,4,house,2017,0.095596402,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Reservoir,4,house,2018,0.055557693,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Ferntree Gully,4,house,2018,0.06390573,3156,Eastern Metropolitan,0.3955255207116783,24.8,Knox City Council,0.21756951317579684
Kew,4,house,2018,0.21854459826050693,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.37186834015385034
Hoppers Crossing,4,house,2016,0.029868839819708715,3029,Western Metropolitan,0.48818039721307693,18.4,Wyndham City Council,0.5166484453142436
Brighton East,4,house,2018,0.12381270385613459,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.24888753421108195
Glen Iris,5,house,2016,0.18919546311898636,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
Murrumbeena,2,unit,2017,0.071598561,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.1535669114423127
Yarraville,2,house,2017,0.075777422,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4351240356364336
Balwyn,4,house,2018,0.15511416385978397,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.2512735011702242
Carnegie,2,townhouse,2017,0.063821327,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.2833489301889839
Dingley Village,4,house,2018,0.069376663,3172,South-Eastern Metropolitan,0.14892327639210665,22.2,Kingston City Council,0.16459118485738053
Malvern East,2,unit,2017,0.039255315828071555,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3259384963618118
Brunswick,4,house,2018,0.12659103467686111,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3976887229067138
Fitzroy,2,unit,2016,0.061497465,3065,Northern Metropolitan,0.22308667226748724,2.1,Yarra City Council,0.17557953
Bentleigh East,3,house,2016,0.096086879,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40088951629085434
Hillside,3,house,2017,0.034746898273141535,3037,Western Metropolitan,0.21283369048571887,18,Brimbank City Council,0.32476550406943505
Brighton,3,townhouse,2017,0.13762780417761486,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3460389541534153
Brighton,3,house,2018,0.079523524,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3492792597321805
Yarraville,4,house,2018,0.14931928575441725,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4396862057114335
Carnegie,2,unit,2018,0.04842594,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.29039904516024606
Fitzroy,2,house,2017,0.10373976976009305,3065,Northern Metropolitan,0.22308667226748724,2.1,Yarra City Council,0.1757761623581349
Hawthorn,3,unit,2016,0.075443755,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3460981779661434
Toorak,3,house,2017,0.27135517916435214,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.2122486276748911
Mulgrave,4,unit,2016,0.047868634,3170,South-Eastern Metropolitan,0.2707729230334999,18.8,Monash City Council,0.2953956828324747
Pascoe Vale,2,house,2016,0.041415610468179584,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.46155701003861366
Northcote,2,unit,2016,0.029519494837989792,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.3652670445684691
Craigieburn,4,house,2016,0.030130768489299006,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.22278184647480845
Balwyn,3,house,2017,0.15895884372059382,3103,Southern Metropolitan,0.21764929314175593,7.9,Boroondara City Council,0.24929211511646676
Newport,2,townhouse,2018,0.047225202,3015,Western Metropolitan,0.21060916611499872,6.2,Hobsons Bay City Council,0.27846902164282894
Port Melbourne,3,unit,2017,0.099676375,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2596250384555716
Craigieburn,3,house,2017,0.034181914,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.2478557647657131
Vermont South,4,house,2016,0.094778406,3133,Eastern Metropolitan,0.1627132418341391,17.2,Whitehorse City Council,0.18632338342277466
Pascoe Vale,4,house,2017,0.07536032,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.4759109224312301
Delahey,4,house,2017,0.037090344,3037,Western Metropolitan,0.1054363493545657,18,Brimbank City Council,0.13808336597300672
Taylors Hill,4,house,2016,0.06361029,3037,Western Metropolitan,0.16118141584024404,18,Melton City Council,0.29216321054844724
